# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;HSexfinVal
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=3)
"HSexfinVal";"X5yrT.bond";"X10yrT.bond";"X10yrNSWT.bond"
21.12348655;-0.163333333;-0.22;-0.326666667
-14.43904771;-0.026666667;-0.133333334;-0.076666666
23.32848898;-0.63;-0.52;-0.433333334
39.28008225;0.38;0.336666667;0.266666667
44.03820021;0.416666667;0.496666667;0.433333333
15.42928782;0.413333333;0.456666666;0.543333334
37.13043925;0.463333333;0.363333334;0.326666666
-14.47768562;0.453333334;0.266666666;0.313333334
-64.00003887;-0.533333334;-0.603333333;-0.513333334
-14.82999564;-0.106666666;-0.123333333;-0.176666666
5.995979006;-0.366666667;-0.296666667;-0.306666667
42.96064841;-0.81;-0.593333333;-0.71
61.35633776;0.416666667;0.52;0.396666667
35.6059235;0.053333333;0.003333333;-0.026666667
13.24758769;-0.443333333;-0.246666667;-0.42
10.6625762;0.653333333;0.476666667;0.546666667
-13.73786441;0.236666667;0.133333333;0.313333333
-7.64853719;-0.503333334;-0.523333333;-0.423333333
6.296364249;-0.27;-0.13;-0.226666667
30.3273274;-0.313333333;-0.28;-0.323333333
31.72016156;-0.1;-0.18;-0.186666667
27.42767938;0.41;0.36;0.373333333
-12.33229808;0.53;0.326666667;0.376666667
-45.64696906;-0.173333333;-0.166666667;-0.153333333
17.63633732;0.12;0.29;0.253333333
10.40605942;-0.173333334;-0.3;-0.28
15.78957249;-0.23;-0.226666667;-0.223333333
31.70438789;0.22;0.123333334;0.186666666
-11.79658064;-0.153333333;-0.166666667;-0.163333333
18.59124864;-0.11;-0.1;-0.113333333
22.24731459;0.186666667;0.196666667;0.186666666
8.665341423;-0.116666667;-0.126666667;-0.12
21.82653457;0.436666667;0.42;0.416666667
2.299096065;0.14;0.043333333;0.093333333
-13.08778384;0.016666666;-0.076666666;-0.08
21.40586428;0.156666667;0.153333333;0.133333334
42.91927876;0.183333333;0.2;0.223333333
-2.838613441;0.04;0.013333333;0.213333333
-8.941989509;0.21;0.113333334;0.16
-22.89364676;-0.11;0.016666666;0.093333334
-72.15594595;0.09;0.22;0.136666666
-9.560478064;-0.5;-0.413333333;-0.313333333
26.77612533;-1.626666666;-1.166666667;-1.056666667
90.74648935;-0.67;-0.57;-0.3
35.30598759;0.933333333;0.8;0.696666667
-2.554973287;0.706666667;0.423333334;0.073333333
-24.4087994;0;0.016666666;0.016666667
-48.51787528;-0.003333334;0.09;-0.07
-21.05290393;-0.006666666;-0.016666666;-0.093333333
-5.285709074;-0.483333334;-0.496666667;-0.5
1.571326212;0.416666667;0.303333333;0.316666666
-12.21836696;0.123333333;0.18;0.34
6.045715179;-0.183333333;-0.19;-0.25
-7.357629894;-0.953333333;-0.763333333;-0.65
7.818483883;-0.536666667;-0.476666667;-0.426666666
-6.009036541;-0.033333333;-0.12;0.1
7.34455614;-0.72;-0.593333333;-0.47
11.45567516;-0.216666667;-0.323333333;-0.41
5.053933163;0.08;0.056666666;-0.083333334
21.56035764;0.296666667;0.356666667;0.303333334
14.88382297;-0.14;-0.13;-0.063333334
10.40757382;0.3;0.53;0.493333334
21.31257135;0.236666666;0.243333333;0.133333333
8.936840507;-0.013333333;0.02;-0.173333333
1.411150213;-0.173333333;-0.296666666;-0.333333334
-11.16867653;-0.263333334;-0.36;-0.34
13.70189412;-0.286666666;-0.296666667;-0.313333333
